,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
38,ANL,AMANI GOLD LIMITED,6/30/2017,620.0,Materials,-58.023044269254086
39,AYS,AMAYSIM AUSTRALIA LIMITED,6/30/2018,77.0,Telecommunication Services,0.0
40,ALT,ANALYTICA LIMITED,6/30/2016,96.0,Health Care Equipment & Services,-10.12738853503184
41,ANR,ANATARA LIFESCIENCES LTD,6/30/2016,3889.0,"Pharmaceuticals, Biotechnology & Life Sciences",-2.5180814041458612
42,ATM,ANEKA TAMBANG (PERSERO) TBK (PT),12/31/2017,39.0,Materials,
43,AWV,ANOVA METALS LIMITED,6/30/2017,200.0,Materials,-49.113418530351424
44,ASN,ANSON RESOURCES LIMITED,6/30/2017,352900.0,Materials,156.42276422764235
45,ADO,ANTEO DIAGNOSTICS LIMITED,6/30/2016,360.0,"Pharmaceuticals, Biotechnology & Life Sciences",-52.81003584229391
46,AZY,ANTIPA MINERALS LIMITED,6/30/2016,957.0,Materials,-26.955085865257605
47,APA,APA GROUP,6/30/2016,35.0,Utilities,2.419815354926428
48,ATL,APOLLO TOURISM & LEISURE LTD,6/30/2017,76.0,Automobiles & Components,13.687895516359232
49,APX,APPEN LIMITED,12/31/2015,62.0,Software & Services,164.7282608695652
50,AD1,APPLYDIRECT LIMITED,6/30/2018,148.0,Software & Services,0.0
51,AQS,AQUIS ENTERTAINMENT LIMITED,12/31/2015,4983.0,Consumer Services,-44.522628642281475
52,AXE,ARCHER EXPLORATION LIMITED,6/30/2018,133.0,Materials,0.0
53,AXT,ARGO EXPLORATION LIMITED,6/30/2016,430.0,Materials,-55.5153046896939
54,AGY,ARGOSY MINERALS LIMITED,12/31/2017,716.0,Materials,143.06119136503816
55,ARA,ARIADNE AUSTRALIA LIMITED,6/30/2016,45.0,Commercial & Professional Services,97.42764146219334
56,ALL,ARISTOCRAT LEISURE LIMITED,9/30/2015,90.0,Consumer Services,56.865308804204986
57,AWN,AROWANA INTERNATIONAL LIMITED,6/30/2016,49.0,Capital Goods,-10.150239392438502
58,AMD,ARROW MINERALS LTD,6/30/2003,290.0,Materials,
59,ARV,ARTEMIS RESOURCES LIMITED,6/30/2015,2249.0,Materials,5.694214876033056
60,AFA,ASF GROUP LIMITED,6/30/2016,244.0,Diversified Financials,-27.54236006051438
61,AJJ,ASIAN AMERICAN MEDICAL GROUP LIMITED,8/31/2015,65.0,Health Care Equipment & Services,11.029465930018421
62,APZ,ASPEN GROUP,6/30/2015,222.00000000000003,Real Estate,-12.736493300677136
63,ATR,ASTRON CORPORATION LIMITED,6/30/2017,306.0,Materials,14.873487348734873
64,AHN,ATHENA RESOURCES LIMITED,6/30/2015,56.99999999999999,Materials,124.99999999999993
65,ALX,ATLAS ARTERIA,12/31/2016,48.0,Transportation,13.946390306619403
66,ATP,ATLAS PEARLS LTD,6/30/2016,52.0,Consumer Durables & Apparel,-19.332985930171965
67,AVC,AUCTUS ALTERNATIVE INVESTMENTS LIMITED,6/30/2016,129.0,Diversified Financials,-24.001708914839075
68,ACP,AUDALIA RESOURCES LIMITED,6/30/2015,31.0,Materials,-53.54555852077768
69,AD8,AUDINATE GROUP LIMITED,6/30/2016,48.0,Technology Hardware & Equipment,
70,AU8,AUMAKE INTERNATIONAL LIMITED,6/30/2018,1653.0,Retailing,0.0
71,AEE,AURA ENERGY LIMITED,6/30/2015,130.0,Energy,-0.46491228070175417
72,AMI,AURELIA METALS LIMITED,6/30/2016,595.0,Materials,81.59651898734182
73,AOU,AUROCH MINERALS LTD,6/30/2015,181.0,Materials,66.28602501359434
