Asx Code,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
AOU,AOU,AUROCH MINERALS LTD,6/30/2015,181.0,Materials,66.28602501359434
ABW,ABW,AURORA ABSOLUTE RETURN FUND,6/30/2016,263.0,Not Applic,-18.585302965191214
ARM,ARM,AURORA MINERALS LIMITED,6/30/2016,480.0,Materials,-6.239743132358192
AQD,AQD,AUSQUEST LIMITED,6/30/2017,3399.0,Materials,51.01886792452827
AGD,AGD,AUSTRAL GOLD LIMITED,6/30/2017,81.0,Materials,-31.502074688796693
AAC,AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,3/31/2016,45.0,"Food, Beverage & Tobacco",-0.7717238139971818
ABX,ABX,AUSTRALIAN BAUXITE LIMITED.,12/31/2015,253.0,Materials,-37.18304843304843
AHF,AHF,AUSTRALIAN DAIRY FARMS GROUP,6/30/2016,261.0,"Food, Beverage & Tobacco",-37.756637168141594
AFG,AFG,AUSTRALIAN FINANCE GROUP LTD,6/30/2006,59.0,Banks,
ALF,ALF,AUSTRALIAN LEADERS FUND LIMITED,6/30/2016,252.0,Diversified Financials,-15.871180735370274
ARC,ARC,AUSTRALIAN RURAL CAPITAL LIMITED,6/30/2016,750.0,Diversified Financials,-2.156355077336919
AOF,AOF,AUSTRALIAN UNITY OFFICE FUND,6/30/2018,48.0,Real Estate,0.0
AVL,AVL,AUSTRALIAN VANADIUM LIMITED,6/30/2016,45.0,Materials,17.165991902833994
ANS,ANS,AUSTSINO RESOURCES GROUP LIMITED,6/30/2017,840.0,Materials,78.5714285714285
AVA,AVA,AVA RISK GROUP LIMITED,6/30/2018,54.0,Technology Hardware & Equipment,0.0
AVN,AVN,AVENTUS RETAIL PROPERTY FUND,6/30/2016,802.0,Real Estate,5.663288094829067
AOG,AOG,AVEO GROUP,6/30/2016,49.0,Real Estate,-12.570355822550841
AVH,AVH,AVITA MEDICAL LTD,6/30/2018,40.0,"Pharmaceuticals, Biotechnology & Life Sciences",0.0
