Asx Code,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
HSN,HSN,HANSEN TECHNOLOGIES LIMITED,6/30/2016,40.0,Software & Services,-7.901133654454338
HE8,HE8,HELIOS ENERGY LTD,6/30/2015,51.0,Energy,6.959595959595956
HOT,HOT,HOTCOPPER HOLDINGS LIMITED,6/30/2017,41.0,Software & Services,24.842562432138976
HRL,HRL,HRL HOLDINGS LTD,6/30/2016,80.0,Commercial & Professional Services,-18.980273141122915
HT1,HT1,HT&E LIMITED,12/31/2017,57.99999999999999,Media,-5.5862466068931464
HUB,HUB,HUB24 LIMITED,6/30/2016,49.0,Diversified Financials,47.55389041566473
HTA,HTA,HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED,12/31/2015,456.0,Telecommunication Services,3.1850961538461537
HCO,HCO,HYLEA METALS LIMITED,6/30/2017,38.0,Materials,-27.22021660649817
IBN,IBN,IBUYNEW GROUP LIMITED,6/30/2016,2899.0,Real Estate,-64.54668470906626
ICI,ICI,ICANDY INTERACTIVE LIMITED,12/31/2016,665.0,Software & Services,-41.10891089108914
ICQ,ICQ,ICAR ASIA LIMITED,12/31/2015,123.0,Media,-29.55104188591876
ICT,ICT,ICOLLEGE LIMITED,6/30/2018,52.0,Consumer Services,0.0
ID8,ID8,IDENTITII LIMITED,6/30/2017,623.0,Class Pend,
IDT,IDT,IDT AUSTRALIA LIMITED,6/30/2018,39.0,"Pharmaceuticals, Biotechnology & Life Sciences",0.0
IKW,IKW,IKWEZI MINING LIMITED,6/30/2015,1426.0,Energy,12.100456621004556
ILU,ILU,ILUKA RESOURCES LIMITED,12/31/2017,39.0,Materials,24.649207165701252
IBX,IBX,IMAGION BIOSYSTEMS LIMITED,12/31/2017,2825375.0,Health Care Equipment & Services,-47.69070010449321
IME,IME,IMEXHS LIMITED,12/31/2017,44.0,Software & Services,
IMF,IMF,IMF BENTHAM LIMITED,6/30/2016,43.0,Diversified Financials,35.31118355065196
IMC,IMC,IMMURON LIMITED,6/30/2017,39.0,"Pharmaceuticals, Biotechnology & Life Sciences",9.982608695652171
IMM,IMM,IMMUTEP LIMITED,6/30/2016,32.0,"Pharmaceuticals, Biotechnology & Life Sciences",-30.947126436781605
IMS,IMS,IMPELUS LIMITED,6/30/2016,85.0,Software & Services,-76.76457180071634
IMU,IMU,IMUGENE LIMITED,6/30/2016,145.0,"Pharmaceuticals, Biotechnology & Life Sciences",60.54307116104865
INP,INP,INCENTIAPAY LIMITED,6/30/2017,120.0,Software & Services,-60.43359482693803
INK,INK,INDAGO ENERGY LIMITED,12/31/2016,73.0,Energy,45.76557863501486
IGO,IGO,INDEPENDENCE GROUP NL,6/30/2018,84.0,Materials,0.0
IDZ,IDZ,INDOOR SKYDIVE AUSTRALIA GROUP LIMITED,6/30/2015,430.0,Consumer Services,-7.628787878787879
IDR,IDR,INDUSTRIA REIT,6/30/2017,34.0,Real Estate,10.296944673823289
INA,INA,INGENIA COMMUNITIES GROUP,6/30/2015,69.0,Real Estate,7.4042693179326
IHR,IHR,INTELLIHR HOLDINGS LIMITED,6/30/2016,88.0,Software & Services,
IEC,IEC,INTRA ENERGY CORPORATION LIMITED,6/30/2015,32.0,Energy,-25.14102564102562
IOF,IOF,INVESTA OFFICE FUND,6/30/2015,56.99999999999999,Real Estate,9.239071697384928
INV,INV,INVESTSMART GROUP LIMITED,6/30/2016,47.0,Diversified Financials,-7.148936170212764
IVO,IVO,INVIGOR GROUP LIMITED,12/31/2015,573.0,Media,-60.230160632941725
IVX,IVX,INVION LIMITED,6/30/2018,637.0,"Pharmaceuticals, Biotechnology & Life Sciences",0.0
IPH,IPH,IPH LIMITED,6/30/2016,74.0,Commercial & Professional Services,-23.61894510226049
IQ3,IQ3,IQ3CORP LIMITED,6/30/2016,271.0,Diversified Financials,-4.573084352865424
IBC,IBC,IRONBARK CAPITAL LIMITED,6/30/2017,24971.0,Diversified Financials,-2.6283788733426117
ISX,ISX,ISIGNTHIS LTD,6/30/2016,1433.0,Software & Services,-21.205718395971946
JIP,JIP,JACK-IN GROUP LIMITED,3/31/2015,98.0,Capital Goods,
JAL,JAL,JAMESON RESOURCES LIMITED,6/30/2016,121.0,Materials,140.1710526315791
JAN,JAN,JANISON EDUCATION GROUP LIMITED,6/30/2017,35.0,Software & Services,59.98882681564254
JHL,JHL,JAYEX HEALTHCARE LIMITED,12/31/2015,84.0,Health Care Equipment & Services,-59.18181818181818
JAY,JAY,JAYRIDE GROUP LIMITED,6/30/2016,118.0,Retailing,
JRV,JRV,JERVOIS MINING LIMITED,6/30/2017,50.0,Materials,116.94841269841257
JJF,JJF,JIAJIAFU MODERN AGRICULTURE LIMITED,6/30/2018,32.0,"Food, Beverage & Tobacco",0.0
JYC,JYC,JOYCE CORPORATION LTD,6/30/2016,63.0,Retailing,30.176722817764173
KAI,KAI,KAIROS MINERALS LIMITED,6/30/2015,95.0,Materials,-11.777777777777775
KGM,KGM,KALNORTH GOLD MINES LIMITED,6/30/2016,16738.0,Materials,-37.25398313027177
KPT,KPT,KANGAROO ISLAND PLANTATION TIMBERS LTD,6/30/2017,118.0,Materials,-0.08613024147851105
KAT,KAT,KATANA CAPITAL LIMITED,6/30/2018,336.0,Not Applic,0.0
KPC,KPC,KAZAKHSTAN POTASH CORPORATION LIMITED,12/31/2016,109.0,Materials,-52.85682125168845
KZA,KZA,KAZIA THERAPEUTICS LIMITED,6/30/2016,90.0,"Pharmaceuticals, Biotechnology & Life Sciences",-48.60591672753835
KPG,KPG,KELLY PARTNERS GROUP HOLDINGS LIMITED,6/30/2017,43.0,Commercial & Professional Services,-7.6707932141219635
KEY,KEY,KEY PETROLEUM LIMITED,6/30/2015,59.0,Energy,-42.17506631299732
KDR,KDR,KIDMAN RESOURCES LIMITED,6/30/2017,491.0,Materials,131.4926398429833
KIN,KIN,KIN MINING NL,6/30/2017,788.0,Materials,-35.49722222222223
KLO,KLO,KINGSLAND GLOBAL LTD,3/31/2017,35.0,Real Estate,-23.196805476326297
KRM,KRM,KINGSROSE MINING LIMITED,6/30/2015,770.0,Materials,-34.085955487336925
KLA,KLA,KIRKLAND LAKE GOLD LTD,12/31/2016,132.0,Materials,
KNO,KNO,KNOSYS LIMITED,6/30/2018,168.0,Software & Services,0.0
KGN,KGN,KOGAN.COM LTD,6/30/2017,37.0,Retailing,184.6833273316528
KKT,KKT,KONEKT LIMITED,6/30/2018,68.0,Health Care Equipment & Services,0.0
KYK,KYK,KYCKR LIMITED,6/30/2017,5308.0,Software & Services,1.5150884495317372
LKO,LKO,LAKES OIL NL,6/30/2017,52.0,Energy,51.26760563380279
LMW,LMW,LANDMARK WHITE LIMITED,6/30/2018,72.0,Real Estate,0.0
LBL,LBL,LASERBOND LIMITED,6/30/2017,31.0,Capital Goods,0.14384508990318126
LAA,LAA,LATAM AUTOS LIMITED,12/31/2015,427.0,Software & Services,-20.247555012224943
LBT,LBT,LBT INNOVATIONS LIMITED,6/30/2016,226.0,Health Care Equipment & Services,26.543371522094922
LIC,LIC,LIFESTYLE COMMUNITIES LIMITED,6/30/2017,44.0,Real Estate,28.97499428571429
LNK,LNK,LINK ADMINISTRATION HOLDINGS LIMITED,6/30/2016,32.0,Software & Services,1.8514765200936216
LIT,LIT,LITHIUM AUSTRALIA NL,6/30/2016,576.0,Materials,-26.60095238095237
LCA,LCA,LITIGATION CAPITAL MANAGEMENT LIMITED,6/30/2017,226.0,Diversified Financials,21.090783569209528
LVH,LVH,LIVEHIRE LIMITED,6/30/2016,204.0,Software & Services,209.6109839816933
LVT,LVT,LIVETILES LIMITED,6/30/2016,177.0,Software & Services,13.095571095571096
LCT,LCT,LIVING CELL TECHNOLOGIES LIMITED,6/30/2017,39.0,"Pharmaceuticals, Biotechnology & Life Sciences",-78.04283360790771
LPE,LPE,LOCALITY PLANNING ENERGY HOLDINGS LIMITED,6/30/2016,2840.0,Utilities,-24.11976047904192
LON,LON,LONGTABLE GROUP LIMITED,6/30/2016,79.0,"Food, Beverage & Tobacco",-30.515811088295678
LVE,LVE,LOVE GROUP GLOBAL LTD,6/30/2016,84.0,Software & Services,-51.41773288439957
LYL,LYL,LYCOPODIUM LIMITED,6/30/2017,74.0,Capital Goods,34.878845838570406
M7T,M7T,MACH7 TECHNOLOGIES LIMITED,6/30/2017,453.0,Health Care Equipment & Services,7.200663349917082
MAH,MAH,MACMAHON HOLDINGS LIMITED,6/30/2018,96.0,Materials,0.0
MRN,MRN,MACQUARIE MEDIA LIMITED,6/30/2016,38.0,Media,23.743288590604013
MFG,MFG,MAGELLAN FINANCIAL GROUP LIMITED,6/30/2018,33.0,Diversified Financials,0.0
MGU,MGU,MAGNUM MINING AND EXPLORATION LIMITED,12/31/2015,4743.0,Materials,26.87546607009693
MAI,MAI,MAINSTREAM GROUP HOLDINGS LIMITED,6/30/2016,59.0,Diversified Financials,-16.876397881106534
MGP,MGP,MANAGED ACCOUNTS HOLDINGS LIMITED,6/30/2018,120.0,Diversified Financials,0.0
MMM,MMM,MARLEY SPOON AG,12/31/2016,646.0,Consumer Services,
MYE,MYE,MASTERMYNE GROUP LIMITED,6/30/2018,62.0,Materials,0.0
MSP,MSP,MAXSEC GROUP LIMITED,6/30/2017,74.0,Technology Hardware & Equipment,-15.29411764705882
MEA,MEA,MCGRATH LIMITED,6/30/2016,41.0,Real Estate,-45.34577581092566
MMR,MMR,MEC RESOURCES LIMITED,6/30/2017,155.0,Energy,-28.273328434974275
MDR,MDR,MEDADVISOR LIMITED,6/30/2017,198.0,Health Care Equipment & Services,27.22513089005234
MEB,MEB,MEDIBIO LIMITED,6/30/2016,589.0,"Pharmaceuticals, Biotechnology & Life Sciences",10.119988462647825
MVP,MVP,MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED,6/30/2016,33.0,"Pharmaceuticals, Biotechnology & Life Sciences",5.628249214272508
MDC,MDC,MEDLAB CLINICAL LIMITED,6/30/2016,141.0,"Pharmaceuticals, Biotechnology & Life Sciences",83.75573549257759
MP1,MP1,MEGAPORT LIMITED,6/30/2017,265.0,Software & Services,69.40204098844565
MJC,MJC,MEJORITY CAPITAL LIMITED,6/30/2017,46.0,Diversified Financials,33.85554425228889
MVT,MVT,MERCANTILE INVESTMENT COMPANY LTD,6/30/2016,1851.0,Diversified Financials,8.65548387096775
MBK,MBK,METAL BANK LIMITED,6/30/2017,1772.0,Materials,-26.560255387071017
MLM,MLM,METALLICA MINERALS LIMITED,6/30/2015,91.0,Materials,-21.541247484909462
MLX,MLX,METALS X LIMITED,6/30/2017,230.0,Materials,-1.9375073694139842
MEI,MEI,METEORIC RESOURCES NL,6/30/2016,2171.0,Materials,150.70748299319715
MEL,MEL,METGASCO LTD,6/30/2016,139.0,Energy,-20.486504498500512
MX1,MX1,MICRO-X LIMITED,6/30/2016,1139.0,Health Care Equipment & Services,2.2445485673094256
MAM,MAM,MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED,6/30/2017,86.0,Diversified Financials,
MDI,MDI,MIDDLE ISLAND RESOURCES LIMITED,6/30/2015,132.0,Materials,529.9999999999997
MWY,MWY,MIDWAY LIMITED,6/30/2016,46.0,Materials,-0.5226337448559671
MHD,MHD,MILLENNIUM LIMITED,6/30/2017,137858.0,Consumer Durables & Apparel,
MNB,MNB,MINBOS RESOURCES LIMITED,6/30/2015,31.0,Materials,11.276595744680845
MCR,MCR,MINCOR RESOURCES NL,6/30/2018,63.0,Materials,0.0
MIR,MIR,MIRRABOOKA INVESTMENTS LIMITED,6/30/2018,34.0,Diversified Financials,0.0
MGR,MGR,MIRVAC GROUP,6/30/2016,38.0,Real Estate,11.208787117192593
MSV,MSV,MITCHELL SERVICES LIMITED,6/30/2016,31.0,Capital Goods,43.83156297420335
MUA,MUA,MITULA GROUP LIMITED,12/31/2015,92.0,Software & Services,0.07405956112852664
MOE,MOE,MOELIS AUSTRALIA LIMITED,12/31/2016,49.0,Diversified Financials,
MND,MND,MONADELPHOUS GROUP LIMITED,6/30/2018,39.0,Capital Goods,0.0
MOX,MOX,MONAX MINING LIMITED,6/30/2015,61.0,Materials,24.603481624758206
MNY,MNY,MONEY3 CORPORATION LIMITED,6/30/2016,40.0,Diversified Financials,19.651242374646632
MTO,MTO,MOTORCYCLE HOLDINGS LIMITED,6/30/2018,38.0,Retailing,0.0
MGX,MGX,MOUNT GIBSON IRON LIMITED,6/30/2018,39.0,Materials,0.0
MRD,MRD,MOUNT RIDLEY MINES LIMITED,6/30/2017,89.0,Materials,-34.949083503054965
MRQ,MRQ,MRG METALS LIMITED,6/30/2017,42.0,Materials,-9.85263157894736
MPW,MPW,MSL SOLUTIONS LIMITED,6/30/2017,107.0,Software & Services,-24.219251336898388
MSI,MSI,MULTISTACK INTERNATIONAL LIMITED,12/31/2017,61.0,Capital Goods,
MCA,MCA,MURRAY COD AUSTRALIA LIMITED,6/30/2017,438.0,"Food, Beverage & Tobacco",36.05546995377506
MRG,MRG,MURRAY RIVER ORGANICS GROUP LIMITED,6/30/2017,300.0,"Food, Beverage & Tobacco",
MGV,MGV,MUSGRAVE MINERALS LIMITED,6/30/2017,64.0,Materials,-5.039530731956132
NAG,NAG,NAGAMBIE RESOURCES LIMITED,6/30/2015,59.0,Materials,172.96720663769267
NAM,NAM,NAMOI COTTON LIMITED,2/28/2018,36.0,Commercial & Professional Services,0.0
NAN,NAN,NANOSONICS LIMITED,6/30/2016,93.0,Health Care Equipment & Services,7.0584202465173975
NAC,NAC,NAOS EX-50 OPPORTUNITIES COMPANY LIMITED,6/30/2016,260.0,Not Applic,4.710351377018044
NSC,NSC,NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED,6/30/2016,1092.0,Diversified Financials,
NSR,NSR,NATIONAL STORAGE REIT,6/30/2017,46.0,Real Estate,7.095805282237178
NVL,NVL,NATIONAL VETERINARY CARE LTD,6/30/2016,402309.0,Health Care Equipment & Services,56.37507425448498
NEA,NEA,NEARMAP LTD,6/30/2016,30.0,Commercial & Professional Services,16.324038636777836
NTC,NTC,NETCOMM WIRELESS LIMITED,6/30/2018,69.0,Technology Hardware & Equipment,0.0
NWL,NWL,NETWEALTH GROUP LIMITED,6/30/2018,36.0,Diversified Financials,0.0
NEU,NEU,NEUREN PHARMACEUTICALS LIMITED,12/31/2016,88.0,"Pharmaceuticals, Biotechnology & Life Sciences",12.107932875667428
NAE,NAE,NEW AGE EXPLORATION LIMITED,6/30/2017,2610.0,Energy,-41.126005361930254
NHC,NHC,NEW HOPE CORPORATION LIMITED,7/31/2017,59.0,Energy,49.1366983246185
NWC,NWC,NEW WORLD COBALT LIMITED,6/30/2015,127.0,Materials,-57.96874999999999
NXT,NXT,NEXTDC LIMITED,6/30/2016,52.0,Software & Services,35.17812969598892
NXM,NXM,NEXUS MINERALS LIMITED,6/30/2016,419.00000000000006,Materials,-29.03992241797317
NGE,NGE,NGE CAPITAL LIMITED,12/31/2016,111.0,Not Applic,9.469668246445496
NCK,NCK,NICK SCALI LIMITED,6/30/2016,30.0,Retailing,33.371113719847024
NIU,NIU,NIUMINCO GROUP LIMITED,6/30/2015,619.0,Materials,98.60465116279062
NKP,NKP,NKWE PLATINUM LIMITED,12/31/2015,5932.0,Materials,-28.84268060836501
NOR,NOR,NORWOOD SYSTEMS LIMITED,6/30/2016,1057.0,Software & Services,-47.1111111111111
NOV,NOV,NOVATTI GROUP LIMITED,6/30/2016,60.0,Software & Services,17.6352453872223
NHL,NHL,NOVITA HEALTHCARE LIMITED,6/30/2017,87.0,Health Care Equipment & Services,4.727272727272728
NWH,NWH,NRW HOLDINGS LIMITED,6/30/2018,99.0,Capital Goods,0.0
NSX,NSX,NSX LIMITED,6/30/2017,66.0,Diversified Financials,-24.415770609318997
NCR,NCR,NUCOAL RESOURCES LIMITED,6/30/2015,173.0,Materials,-39.87460815047019
OCP,OCP,OCEANIA CAPITAL PARTNERS LIMITED,3/31/2016,281.0,Diversified Financials,42.423309510720145
ODY,ODY,ODYSSEY ENERGY LIMITED,6/30/2015,107.0,Energy,31.513513513513512
OEX,OEX,OILEX LTD,6/30/2016,54.0,Energy,-50.221774193548356
OSL,OSL,ONCOSIL MEDICAL LTD,6/30/2016,39.0,"Pharmaceuticals, Biotechnology & Life Sciences",-20.984483681112888
OVH,OVH,ONEVUE HOLDINGS LIMITED,6/30/2017,53.0,Diversified Financials,33.11864406779662
OPN,OPN,OPENDNA LIMITED,6/30/2018,503.0,Commercial & Professional Services,0.0
OPT,OPT,OPTHEA LIMITED,6/30/2018,94.0,"Pharmaceuticals, Biotechnology & Life Sciences",0.0
OEC,OEC,ORBITAL CORPORATION LIMITED,6/30/2018,46.0,Capital Goods,0.0
ODA,ODA,ORCODA LIMITED,6/30/2016,172.0,Software & Services,-73.29855732725895
ORR,ORR,ORECORP LIMITED,6/30/2017,356.0,Materials,-32.32634300488365
ORN,ORN,ORION MINERALS LTD,6/30/2015,1084.0,Materials,-33.51470588235293
OVN,OVN,OVENTUS MEDICAL LIMITED,6/30/2016,859.0,Health Care Equipment & Services,-30.855172413793106
OTW,OTW,OVER THE WIRE HOLDINGS LIMITED,6/30/2016,46.0,Software & Services,5.726970227670753
P2P,P2P,P2P TRANSPORT LIMITED,6/30/2018,119.0,Not Applic,0.0
PAC,PAC,PACIFIC CURRENT GROUP LIMITED,6/30/2017,267.0,Diversified Financials,7.450968203151713
PNW,PNW,PACIFIC STAR NETWORK LIMITED,6/30/2018,49.0,Media,0.0
PCK,PCK,PAINCHEK LTD,6/30/2017,699.0,Health Care Equipment & Services,50.61501210653754
PGC,PGC,PARAGON CARE LIMITED,6/30/2016,190.0,Health Care Equipment & Services,11.728694642998445
PCG,PCG,PENGANA CAPITAL GROUP LIMITED,6/30/2017,30.0,Diversified Financials,21.92214729251519
PSM,PSM,PENINSULA MINES LIMITED,6/30/2016,54.0,Materials,-5.809443507588531
PPE,PPE,PEOPLE INFRASTRUCTURE LTD,6/30/2018,52.0,Commercial & Professional Services,0.0
PIL,PIL,PEPPERMINT INNOVATION LIMITED,6/30/2016,1685.0000000000002,Software & Services,-32.27038183694528
PIC,PIC,PERPETUAL EQUITY INVESTMENT COMPANY LIMITED,6/30/2016,40.0,Not Applic,0.92493901294802
PRU,PRU,PERSEUS MINING LIMITED,6/30/2018,37.0,Materials,0.0
PHI,PHI,PHILEO AUSTRALIA LIMITED,6/30/2017,256.0,Real Estate,27.785032916834606
PYC,PYC,PHYLOGICA LIMITED,6/30/2017,256660.0,"Pharmaceuticals, Biotechnology & Life Sciences",-21.440758293838858
PGY,PGY,PILOT ENERGY LIMITED,9/30/2017,11447.0,Energy,-47.9871382636656
PNI,PNI,PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,6/30/2017,31.0,Diversified Financials,79.40703451016759
PNC,PNC,PIONEER CREDIT LIMITED,6/30/2018,44.0,Diversified Financials,0.0
PGM,PGM,PLATINA RESOURCES LIMITED,6/30/2016,1806.0,Materials,65.46350088406163
PL8,PL8,PLATO INCOME MAXIMISER LIMITED.,6/30/2018,574.0,Not Applic,0.0
PLC,PLC,PLC FINANCIAL SOLUTIONS LIMITED,6/30/2017,2161.0,Diversified Financials,-53.81999999999997
PKA,PKA,PLUKKA LIMITED,6/30/2016,39.0,Diversified Financials,-25.935483870967733
PNV,PNV,POLYNOVO LIMITED,6/30/2016,14569.999999999998,"Pharmaceuticals, Biotechnology & Life Sciences",0.036326250856751216
PVL,PVL,POWERHOUSE VENTURES LIMITED,6/30/2016,102.0,Commercial & Professional Services,-25.45654807798216
PDZ,PDZ,PRAIRIE MINING LIMITED,6/30/2016,788.0,Materials,131.51263383297646
PTX,PTX,PRESCIENT THERAPEUTICS LIMITED,6/30/2016,299.0,"Pharmaceuticals, Biotechnology & Life Sciences",-24.795918367346932
PFG,PFG,PRIME FINANCIAL GROUP LIMITED,6/30/2017,40.0,Diversified Financials,-14.25091352009744
PGX,PGX,PRIMERO GROUP LIMITED,6/30/2017,57.99999999999999,Capital Goods,
PME,PME,PRO MEDICUS LIMITED,6/30/2016,56.99999999999999,Health Care Equipment & Services,23.66478023793787
PPG,PPG,PRO-PAC PACKAGING LIMITED,6/30/2018,62.0,Materials,0.0
PRX,PRX,PRODIGY GOLD NL,6/30/2016,9113.0,Materials,50.78693790149893
PFP,PFP,PROPEL FUNERAL PARTNERS LIMITED,6/30/2016,106.0,Consumer Services,
PLG,PLG,PROPERTYLINK GROUP,6/30/2015,76.0,Real Estate,
PIQ,PIQ,PROTEOMICS INTERNATIONAL LABORATORIES LTD,6/30/2016,45.0,"Pharmaceuticals, Biotechnology & Life Sciences",-22.35156544700113
PPL,PPL,PUREPROFILE LTD,6/30/2016,193.0,Software & Services,-35.17272727272727
PPH,PPH,PUSHPAY HOLDINGS LIMITED,3/31/2016,475.0,Software & Services,31.786016949152547
PWH,PWH,PWR HOLDINGS LIMITED,6/30/2016,46.0,Automobiles & Components,-17.613642564802188
QMS,QMS,QMS MEDIA LIMITED,6/30/2016,1493.0,Media,-12.089723510164838
QST,QST,QUEST INVESTMENTS LIMITED,6/30/2016,162.0,Diversified Financials,
QVE,QVE,QV EQUITIES LIMITED,6/30/2016,61.0,Not Applic,8.823600303009437
RMS,RMS,RAMELIUS RESOURCES LIMITED,6/30/2016,33.0,Materials,3.679603277274688
RBR,RBR,RBR GROUP LIMITED,6/30/2016,363.0,Materials,-30.53903345724905
RCR,RCR,RCR TOMLINSON LIMITED,6/30/2017,42.0,Capital Goods,-5.8319813782887735
RCL,RCL,READCLOUD LIMITED,6/30/2016,75.0,Software & Services,
RLE,RLE,REAL ENERGY CORPORATION LIMITED,6/30/2015,1087.0,Energy,-34.671590609337905
RCE,RCE,RECCE PHARMACEUTICALS LTD,6/30/2016,55.00000000000001,"Pharmaceuticals, Biotechnology & Life Sciences",-17.818775510204073
RFT,RFT,RECTIFIER TECHNOLOGIES LTD,6/30/2016,35.0,Capital Goods,4.430512016718911
RED,RED,RED 5 LIMITED,6/30/2015,38950.0,Materials,15.958597976946606
RHI,RHI,RED HILL IRON LIMITED,6/30/2017,234.0,Materials,-16.63802905874921
RDM,RDM,RED METAL LIMITED,6/30/2015,151.0,Materials,90.54561717352414
RMX,RMX,RED MOUNTAIN MINING LIMITED,6/30/2016,185.0,Materials,-27.846420323325624
RVR,RVR,RED RIVER RESOURCES LIMITED,6/30/2016,191.0,Materials,58.98387096774198
RBL,RBL,REDBUBBLE LIMITED,6/30/2016,61.0,Software & Services,-15.315133531157274
RFX,RFX,REDFLOW LIMITED,6/30/2016,747.0,Capital Goods,-57.08396868964117
RFN,RFN,REFFIND LIMITED,6/30/2016,2601.0,Software & Services,-87.98160788775125
RGP,RGP,REFRESH GROUP LIMITED,6/30/2018,42.0,"Food, Beverage & Tobacco",0.0
RGS,RGS,REGENEUS LTD,6/30/2017,436.00000000000006,"Pharmaceuticals, Biotechnology & Life Sciences",1.9150141643059493
RD1,RD1,REGISTRY DIRECT LIMITED,6/30/2016,50.0,Software & Services,
RNU,RNU,RENASCOR RESOURCES LIMITED,6/30/2016,52.0,Energy,-9.021276595744672
RNT,RNT,RENT.COM.AU LIMITED,6/30/2016,150.0,Software & Services,-50.72278592008018
RDG,RDG,RESOURCE DEVELOPMENT GROUP LIMITED,6/30/2018,74.0,Materials,0.0
RSH,RSH,RESPIRI LIMITED,6/30/2016,621.0,Health Care Equipment & Services,-5.096153846153845
RBD,RBD,RESTAURANT BRANDS NEW ZEALAND LIMITED,2/26/2018,48.0,Consumer Services,0.0
RFG,RFG,RETAIL FOOD GROUP LIMITED,6/30/2016,36.0,Consumer Services,-13.954548416525473
REF,REF,REVERSE CORP LIMITED,6/30/2018,34.0,Telecommunication Services,0.0
RWD,RWD,REWARD MINERALS LTD,12/31/2015,47.0,Materials,-31.88306208559373
RXH,RXH,REWARDLE HOLDINGS LIMITED,6/30/2016,378.0,Software & Services,-73.43016759776535
RNO,RNO,RHINOMED LIMITED,6/30/2016,134.0,"Pharmaceuticals, Biotechnology & Life Sciences",-14.269230769230768
RMY,RMY,RMA GLOBAL LIMITED,6/30/2017,303.0,Software & Services,
RMG,RMG,RMG LIMITED,6/30/2017,143.0,Materials,29.012875536480664
RXP,RXP,RXP SERVICES LIMITED,6/30/2016,61.0,Software & Services,14.685986502580382
SNC,SNC,SANDON CAPITAL INVESTMENTS LIMITED,6/30/2016,367.0,Not Applic,13.629156999226606
SAR,SAR,SARACEN MINERAL HOLDINGS LIMITED,6/30/2017,53.0,Materials,51.46525397320036
SND,SND,SAUNDERS INTERNATIONAL LIMITED,6/30/2018,65.0,Capital Goods,0.0
SYA,SYA,SAYONA MINING LIMITED,6/30/2015,40.0,Materials,134.34027777777774
SCG,SCG,SCENTRE GROUP,12/31/2015,32.0,Real Estate,17.562418379685607
SFC,SFC,SCHAFFER CORPORATION LIMITED,6/30/2016,36.0,Automobiles & Components,46.56529693731932
SDV,SDV,SCIDEV LTD,6/30/2017,35.0,Materials,-39.5115332428765
SLK,SLK,SEALINK TRAVEL GROUP LIMITED,6/30/2016,59.0,Consumer Services,-1.3984846482533817
SWF,SWF,SELFWEALTH LIMITED,6/30/2016,112.0,Diversified Financials,
SXY,SXY,SENEX ENERGY LIMITED,6/30/2018,61.0,Energy,0.0
SVW,SVW,SEVEN GROUP HOLDINGS LIMITED,6/30/2018,51.0,Capital Goods,0.0
SRO,SRO,SHAREROOT LTD,6/30/2016,468.0,Software & Services,-72.37553342816499
SSG,SSG,SHAVER SHOP GROUP LIMITED,6/30/2016,69.0,Retailing,-44.065198543436786
SHI,SHI,SHINE METALS LIMITED,12/31/2015,7064.0,Capital Goods,
SDX,SDX,SIENNA CANCER DIAGNOSTICS LIMITED,6/30/2016,42.0,"Pharmaceuticals, Biotechnology & Life Sciences",
SRI,SRI,SIPA RESOURCES LIMITED,6/30/2016,42.0,Materials,-44.5378151260504
SRX,SRX,SIRTEX MEDICAL LIMITED,6/30/2016,32.0,"Pharmaceuticals, Biotechnology & Life Sciences",-48.42736185953638
SAM,SAM,SIV ASSET MANAGEMENT LIMITED,6/30/2015,54.0,Diversified Financials,
SKN,SKN,SKIN ELEMENTS LIMITED,6/30/2017,73.0,Household & Personal Products,-53.25341155464861
SKF,SKF,SKYFII LTD,6/30/2016,255.0,Software & Services,-22.69877049180328
SM8,SM8,SMART MARINE SYSTEMS LIMITED,6/30/2016,106.0,Technology Hardware & Equipment,-57.12430720506728
SPZ,SPZ,SMART PARKING LIMITED,6/30/2016,34.0,Technology Hardware & Equipment,-4.205198358413134
SIQ,SIQ,SMARTGROUP CORPORATION LTD,12/31/2016,61.0,Commercial & Professional Services,36.393883375494596
SXX,SXX,SOUTHERN CROSS EXPLORATION N.L.,6/30/2015,69.0,Materials,123.3620689655172
SVM,SVM,SOVEREIGN METALS LIMITED,6/30/2017,154.0,Materials,-4.523312456506611
ST1,ST1,SPIRIT TELECOM LIMITED,6/30/2016,43.0,Telecommunication Services,13.791225416036305
SPL,SPL,STARPHARMA HOLDINGS LIMITED,6/30/2016,170.0,"Pharmaceuticals, Biotechnology & Life Sciences",39.220916929430494
SDF,SDF,STEADFAST GROUP LIMITED,6/30/2016,52.0,Insurance,35.121340117116254
STA,STA,STRANDLINE RESOURCES LIMITED,6/30/2017,949.0,Materials,85.8
SER,SER,STRATEGIC ENERGY RESOURCES LIMITED,6/30/2018,858.0,Materials,0.0
SGO,SGO,STREAM GROUP LIMITED,6/30/2018,102.0,Software & Services,0.0
SMN,SMN,STRUCTURAL MONITORING SYSTEMS PLC,6/30/2016,6498.0,Technology Hardware & Equipment,-27.04770300715054
SGU,SGU,SUCCESS GLOBAL MEDIA LIMITED,12/31/2015,117.0,Consumer Services,
SDG,SDG,SUNLAND GROUP LIMITED,6/30/2017,59.0,Real Estate,2.561349012646994
